titulo,categoria,data,n_palavras,classe_real,previsao_regressao_logistica,previsao_random_forest,acertou_lr,acertou_rf,classe_real_label
Decisão que libertou Lula e outros presos gera enganos e fake news na rede  ,política,2019-11-09,72.0,0,0,0,True,True,Fake
"Para Bolsonaro, país está dividido e terá 'luta ferrenha'  nas eleições de 2022  ",política,2021-03-18,107.0,1,1,1,True,True,Real
Celso de Mello não se aposentou do STF por invalidez  ,política,2020-10-15,38.0,0,0,0,True,True,Fake
"

Mulher vende panelas em carro de luxo para realizar sequestros em estacionamentos #boato 
",brasil,2019-11-27,119.0,0,0,0,True,True,Fake
"Reforma tributária deve vir antes de autonomia do BC na Câmara, diz Maia  ",política,2020-11-06,127.0,1,1,1,True,True,Real
Veja o que é #FATO ou #FAKE nas declarações dos candidatos à Prefeitura de SP na 7ª semana de campanha,política,2020-11-13,57.0,0,0,0,True,True,Fake
"Vítima da covid-19, mãe espera 73 dias após o parto para segurar o filho  ",saúde,2020-07-30,85.0,1,1,1,True,True,Real
Sobe para 17 o total de pessoas que estiveram com Bolsonaro nos EUA e têm coronavírus ,política,2020-03-18,93.0,1,1,1,True,True,Real
Justiça suspende aulas presenciais no Colégio Militar de Belo Horizonte  ,saúde,2020-09-19,81.0,1,1,1,True,True,Real
Portugal registra primeiro caso do novo coronavírus  ,saúde,2020-03-02,68.0,1,1,1,True,True,Real
Pfizer e BioNTech aceitam pedido da UE por mais 100 milhões de doses de vacina  ,saúde,2020-12-29,98.0,1,1,1,True,True,Real
O É DA COISA: Queda de Pazuello é inútil se continuar negacionismo homicida  ,política,2021-03-15,5.0,1,1,0,True,False,Real
Fux diz a Guedes que STF não irá compor Conselho Fiscal da República  ,política,2021-02-19,110.0,1,1,1,True,True,Real
Bolsonaro gera aglomeração e tira selfies com banhistas em praia de SP  ,política,2020-10-11,49.0,1,1,0,True,False,Real
Saúde distribui quantidade necessária de vacinas para segunda dose da Coronavac,saúde,2021-05-19,111.0,1,1,1,True,True,Real
"Em meio a investigação, estratégia palaciana é destacar que troca na PF é prerrogativa presidencial",política,2020-05-12,106.0,1,1,1,True,True,Real
"

Cid Gomes atirou primeiro após receber arma de tenente-coronel em Sobral #boato 
",política,2020-02-24,111.0,0,0,0,True,True,Fake
Médica cita estudos inconclusivos ao sugerir conspiração contra cloroquina  ,ciência,2020-07-31,77.0,0,0,0,True,True,Fake
É #FAKE que caixões de vítimas do coronavírus foram desenterrados em Belo Horizonte e havia apenas pedra e madeira dentro,saúde,2020-04-30,101.0,0,0,0,True,True,Fake
Ibope em Manaus: Amazonino Mendes (Podemos) lidera com 25%  ,política,2020-10-14,46.0,1,1,1,True,True,Real
"
  A Globo não “admitiu” que os atos pró-Bolsonaro de 1° de maio foram os maiores da história",brasil,,103.0,0,0,0,True,True,Fake
"'Se vírus continuar circulando livremente, risco de ele se adaptar melhor aumenta', diz brasileiro que descobriu nova mutação do coronavírus",saúde,2020-12-24,74.0,1,1,1,True,True,Real
É #FAKE que foto mostre monumento de Berlim lotado em manifestação contra regras para conter Covid-19,mundo,2020-08-06,101.0,0,0,0,True,True,Fake
"Qual a idade em que somos mais infelizes, segundo a ciência",ciência,2020-01-16,59.0,1,1,1,True,True,Real
"

Caixa-preta do BNDES revela R$ 576 bilhões desviados durante o governo do PT #boato 
",política,2020-05-10,361.0,0,0,0,True,True,Fake
verdade pintor italiano quadrar prever comer seriar o vidar,saúde,2021-04-14,19.0,0,0,0,True,True,Fake
Vídeo de homem implorando por banho de mar foi gravado um dia depois do anúncio de reabertura da orla,saúde,2020-09-28,22.0,0,0,0,True,True,Fake
Entenda como ficam os processos de Lula após o STF confirmar a decisão de Fachin,brasil,,372.0,1,1,1,True,True,Real
Fiéis fazem de Santa Corona a padroeira da resistência a epidemia  ,saúde,2020-05-14,78.0,1,1,1,True,True,Real
Desgaste sofrido pelo Planalto afeta disputa na Câmara  ,política,2021-01-19,118.0,1,1,1,True,True,Real
"

Médica usuária de crack é filmada vivendo nas ruas #boato 
",saúde,2018-12-11,25.0,0,0,0,True,True,Fake
"

Cientista da OMS vai ser condenada à morte por não recomendar ivermectina #boato 
",saúde,2021-07-02,62.0,0,0,0,True,True,Fake
médico alertar vídeo o “ vacinar chinês ” mortal verdade,saúde,2020-10-27,24.0,0,0,0,True,True,Fake
"""Precisamos de políticas públicas para evitar uma nova pandemia"", diz especialista em mudanças climáticas ",ciência,2020-11-25,99.0,1,1,1,True,True,Real
Duarte Nogueira e Suely Vilela disputam 2° turno em Ribeirão Preto (SP)  ,política,2020-11-16,81.0,1,1,1,True,True,Real
Limão com bicarbonato não cura covid-19 e pode fazer mal à saúde,saúde,2020-03-31,45.0,0,1,1,False,False,Fake
"

Esquerda e centrão vão derrubar MP que cria pensão para crianças com microcefalia #boato 
",política,2019-09-16,57.0,0,0,1,True,False,Fake
Funciona Assim: como são eleitos os vereadores e mudanças na lei eleitoral,política,2020-09-14,80.0,1,1,0,True,False,Real
Primeiro-ministro da Itália descarta novo lockdown  ,saúde,2020-07-08,158.0,1,1,1,True,True,Real
,saúde,2020-04-08,65.0,0,0,0,True,True,Fake
"

Mensagem “Toque para ler o novo Aviso de Privacidade – Brasil” é um golpe criado por hackers no WhatsApp #boato 
",entretenimento,2020-08-22,196.0,0,0,0,True,True,Fake
Japonesa é diagnosticada com verme na garganta após comer sashimi; veja vídeo,ciência,2020-07-14,84.0,1,1,1,True,True,Real
Tadjiquistão confirma primeiros casos de coronavírus  ,saúde,2020-04-30,99.0,1,1,1,True,True,Real
É falso que irmãos Miranda forjaram recibos para prejudicar Bolsonaro  ,política,2021-06-30,75.0,0,0,0,True,True,Fake
"
  Urna em picape era equipamento de reposição, não máquina adulterada com partidários de Sarto",brasil,2020-11-30,92.0,0,0,0,True,True,Fake
É #FAKE que fotos mostrem comícios de Trump e Biden na véspera da eleição americana,mundo,2020-11-02,70.0,0,0,0,True,True,Fake
"Austrália anuncia pacote adicional de US$ 1,56 bi para enfrentar coronavírus  ",saúde,2020-03-10,58.0,1,1,1,True,True,Real
"

Governo da Argentina bloqueia todas contas bancárias do país #boato 
",mundo,2020-07-30,27.0,0,0,0,True,True,Fake
"
  Vídeo de menina brincando com fósforo não tem relação com fogo em mercado atacadista de 2020",brasil,,99.0,0,0,0,True,True,Fake
"Dois terços dos nova-iorquinos infectados estavam em casa, mas dado não comprova falhas no distanciamento social",saúde,2020-05-08,27.0,0,0,0,True,True,Fake
"Pandemia registra seu pior dia, com 13 mil mortes e quase 700 mil casos  ",saúde,2020-12-12,74.0,1,1,1,True,True,Real
Governo investiga professores por manifestação 'de desapreço' a presidente  ,política,2021-03-03,57.0,1,1,1,True,True,Real
SP restringe funcionamento de bares e venda de bebida alcoólica para conter coronavírus  ,saúde,2020-12-11,144.0,1,1,1,True,True,Real
Equipe avançada da OMS vai à China para investigar origem do coronavírus  ,saúde,2020-07-10,70.0,1,1,1,True,True,Real
"Filho 04 de Bolsonaro ironiza covid-19: 'Só uma gripezinha. Peguei, passou'  ",saúde,2020-04-30,101.0,1,0,0,False,False,Real
Suécia muda postura e aprova lei que permite fechar comércio  ,saúde,2021-01-08,141.0,1,1,1,True,True,Real
"
  A pessoa presa nesta foto é o ator Cuba Gooding Jr., não o chefe de campanha de Joe Biden",política,2020-11-23,59.0,0,0,0,True,True,Fake
Morte de médico que fez alerta sobre o coronavírus gera indignação na China  ,saúde,2020-02-07,93.0,1,1,1,True,True,Real
Xiaomi atualiza navegadores após especialistas denunciarem que apps coletavam informações de usuários,política,2020-05-05,93.0,1,1,1,True,True,Real
Joel Pinheiro: Comprovante de residência é 'tentativa de racionar' vacinas  ,saúde,2021-05-27,72.0,1,1,1,True,True,Real
"Baixo Clero #59: Eleições nos EUA, Renda Cidadã e rachadinhas de Flávio Bolsonaro   ",política,2020-10-01,108.0,1,1,1,True,True,Real
É #FAKE que OAB-RJ pediu afastamento de sniper que atirou em sequestrador da Ponte Rio-Niterói,brasil,2019-08-21,112.0,0,0,1,True,False,Fake
É falso que Boulos tenha falado em obrigar paulistano a receber morador de rua na pandemia,política,2020-11-20,11.0,0,0,0,True,True,Fake
É #FAKE que Charlie Hebdo fez capa com sátira a Lula e ao STF,política,2019-11-08,95.0,0,0,0,True,True,Fake
Guedes diz que PT ganhou merecidamente eleições após criar o Bolsa Família  ,política,2021-05-04,57.0,1,1,1,True,True,Real
" PF não declarou que Lula é ""ex-presidente mais rico da história do Brasil""  ",política,2019-06-13,42.0,0,0,0,True,True,Fake
"

Em Bento Gonçalves (RS), produtores colocam fogo em tonéis para não congelar uvas #boato 
",brasil,2021-07-28,53.0,0,0,0,True,True,Fake
É verdade que o Ensino Médio apresentou melhor resultado em 15 anos do Ideb  ,brasil,2020-09-21,56.0,0,0,0,True,True,Fake
UOL Confere: Boato inventa Lula sendo expulso de restaurante no PR,política,2019-11-22,20.0,0,0,0,True,True,Fake
Brasil registra 7.518.846 milhões de pessoas recuperadas,saúde,2021-01-19,71.0,1,1,1,True,True,Real
É #FAKE que Moro é cunhado de Aécio e que avô do ex-ministro é um dos fundadores do PSDB,política,2020-05-05,71.0,0,0,0,True,True,Fake
É #FAKE que George Soros foi preso na Filadélfia acusado de interferir nas eleições presidenciais dos EUA,mundo,2020-12-07,77.0,0,0,0,True,True,Fake
Partidos vão ao Supremo contra MP que isenta agentes públicos de punição na pandemia,política,2020-05-14,109.0,1,1,1,True,True,Real
É #FAKE que universidade federal liberou computadores de ponta para alunos jogarem LOL,brasil,2019-05-08,110.0,0,0,0,True,True,Fake
"

China criou o coronavírus para ganhar a 3ª Guerra Mundial e dar um golpe de mestre #boato 
",mundo,2020-03-15,213.0,0,0,1,True,False,Fake
É falso que testes são manipulados e pandemia é uma farsa,saúde,2020-09-05,16.0,0,0,0,True,True,Fake
Brasil vota contra resolução na OMS que pede garantia de saúde a palestinos  ,política,2021-05-26,77.0,1,1,1,True,True,Real
Pazuello é convocado pelo Senado para esclarecer condução da pandemia  ,saúde,2021-03-15,81.0,1,1,1,True,True,Real
Ministério da Saúde implementa rede de sequenciamento genético para novas cepas do coronavírus  ,saúde,2021-02-12,57.0,1,1,1,True,True,Real
"

Militantes do PT têm número 13 marcado a ferro #boato 
",política,2020-12-05,20.0,0,0,0,True,True,Fake
"

Clarissa Garotinho vai ser assessora de Wilson Witzel no governo do Rio #boato 
",política,2019-02-06,50.0,0,0,0,True,True,Fake
"Piauí recebe mais 32,4 mil doses de vacina contra a Covid-19",saúde,2021-03-03,79.0,1,1,1,True,True,Real
"

Breno Lintz, promotor de Justiça em Uberlândia, escreve mensagem em defesa de Bolsonaro #boato 
",política,2020-04-27,163.0,0,0,0,True,True,Fake
Ataques e 'fake news' rebaixam Brasil em ranking de liberdade de expressão  ,política,2021-07-29,68.0,0,0,0,True,True,Fake
"Pandemia levou 23 estados e o DF a implementarem auxílios econômicos próprios; e 17 estados a fecharem rodovias, aponta levantamento",saúde,2020-06-19,91.0,1,1,1,True,True,Real
"

Instituto Rio Branco mudou o nome para Instituto Che Guevara e virou esquerdista #boato 
",política,2019-07-20,155.0,0,1,0,False,True,Fake
É #FAKE que ator Paulo Betti fez publicação com ataques a Regina Duarte,entretenimento,2020-01-21,156.0,0,0,0,True,True,Fake
Eduardo Bolsonaro posta vídeo antigo sobre liberação da cloroquina  ,saúde,2020-07-31,92.0,0,1,1,False,False,Fake
foto astronauta segurar sacar maconha verdadeiro falso,entretenimento,2020-06-18,3.0,0,0,0,True,True,Fake
Lira escolhe relator que se mostrou favorável à prisão de Daniel Silveira  ,política,2021-02-18,71.0,1,1,1,True,True,Real
"Positivos para covid-19 na Itália podem ser até 20 vezes mais, diz estudo  ",saúde,2020-04-30,102.0,1,1,1,True,True,Real
"Coronavírus: balanço da OMS registra 585,7 mil mortes e 13,6 milhões de casos no mundo  ",saúde,2020-07-17,85.0,1,1,1,True,True,Real
O Assunto #342: Epidemia eterna na terra yanomami ,saúde,2020-12-07,194.0,1,1,1,True,True,Real
"
  Foto de protesto ocorrido em dezembro de 2019 circula como se fosse de 1º de maio de 2021",brasil,,72.0,0,0,0,True,True,Fake
"

Homem morre ao tomar choque carregando o celular no carro #boato 
",entretenimento,2020-02-28,19.0,0,0,0,True,True,Fake
Morre a influenciadora Ygona Moura por complicações da covid-19  ,saúde,2021-01-27,50.0,1,1,1,True,True,Real
"
  Cédulas queimadas em vídeo são amostras, não as oficiais utilizadas nas eleições dos EUA",política,,64.0,0,0,0,True,True,Fake
verdade o cão laika o viver lançar o o espaçar,entretenimento,2020-08-12,4.0,0,0,0,True,True,Fake
Brasil estuda adquirir testes rápidos e seguir modelo da Coreia do Sul  ,saúde,2020-03-16,103.0,1,1,1,True,True,Real
o papar francisco holograma,entretenimento,2020-04-14,39.0,0,0,0,True,True,Fake
O TSE faz a apuração das eleições em uma sala fechada de forma secreta?,entretenimento,2021-07-22,31.0,0,0,0,True,True,Fake
Exame sorológico não prova que vacinas deixam de proteger,saúde,2021-07-22,41.0,0,0,0,True,True,Fake
"

Girafas da Austrália saltam de trampolim, fazem acrobacias e mergulham na água, mostra vídeo #boato 
",mundo,2020-07-18,19.0,0,0,0,True,True,Fake
Anivaldo Padilha recebe Prêmio de Memória e Verdade   ,política,2020-12-04,170.0,1,1,1,True,True,Real
"

Vídeo de Bolsonaro convocando para manifestações de 15 de março é de 2015 #boato 
",política,2020-02-27,124.0,0,0,0,True,True,Fake
Criador da primeira imagem digital da história morre aos 91 anos nos EUA,política,2020-08-14,90.0,1,1,1,True,True,Real
"
  Não há provas de que ivermectina, testada apenas in vitro, possa curar o novo coronavírus",saúde,2020-05-27,73.0,0,0,0,True,True,Fake
"

Foto mostra 20 bandidos mortos no Jacarezinho na hora da prisão #boato 
",brasil,2021-05-11,55.0,0,0,0,True,True,Fake
"

Chico Buarque disse, em entrevista na CBN, que está investindo em bitcoins e lucrando muito #boato 
",entretenimento,,160.0,0,0,0,True,True,Fake
"Sob tensão, CPI da Covid aprova pedidos de informação sobre atos do governo  ",política,2021-04-29,67.0,1,1,1,True,True,Real
Coronavírus no Brasil: País tem 486 mortos e 11.130 casos oficiais  ,saúde,2020-04-05,74.0,1,1,1,True,True,Real
"

Lula proibiu aplicação de vacina contra meningite no SUS em 2010 #boato 
",política,2019-03-03,54.0,0,0,0,True,True,Fake
Doria: fábrica do Butantan começa produção industrial da CoronaVac em 2022  ,saúde,2021-02-04,74.0,1,1,1,True,True,Real
OMS: diminuição dos casos e mortes por covid ainda não é resultado de vacinação  ,saúde,2021-02-17,81.0,1,1,1,True,True,Real
É #FAKE que beber vodca ou uísque mate o coronavírus na garganta,ciência,2020-07-10,83.0,0,0,0,True,True,Fake
"1 em cada 4 pessoas vive em famílias com restrição de acesso à saúde, diz IBGE",ciência,2020-11-25,80.0,1,1,1,True,True,Real
Ministério da Saúde adota novo fluxo de consolidação de casos de coronavírus,saúde,2020-02-29,62.0,1,1,1,True,True,Real
Veja o que é #FATO ou #FAKE nas declarações dos candidatos à Prefeitura de SP na 3ª semana de campanha,política,2020-10-17,59.0,0,0,0,True,True,Fake
"
  Este manifestante não fingiu machucar a cabeça em protesto por morte de George Floyd",política,2020-06-17,94.0,0,0,0,True,True,Fake
"

Xuxa está sorteando cartões (reforma e presente) R$ 15 mil para usuários do Facebook #boato 
",entretenimento,2020-08-28,54.0,0,0,0,True,True,Fake
"

CDC lista locais em que há risco alto e baixo de infecção por coronavírus #boato 
",saúde,2020-06-14,184.0,0,1,0,False,True,Fake
"Fazer dinheiro chegar a microempresários é prioridade, diz Rodrigo Maia  ",saúde,2020-06-01,117.0,1,1,1,True,True,Real
Supremo mantém autonomia de estados e municípios para requisitar serviços de saúde na pandemia,saúde,2020-09-02,101.0,1,1,1,True,True,Real
Bolsonaro participa nesta quinta de cúpula do Mercosul; reunião será por vídeo pela primeira vez,política,2020-07-02,128.0,1,1,1,True,True,Real
Órgão do ministério da Justiça notifica supermercados por alta de preços  ,política,2020-09-09,75.0,1,1,1,True,True,Real
É #FAKE que foto mostre Weintraub em avião pedindo silêncio após demissão e saída do Brasil,política,2020-06-22,54.0,0,0,0,True,True,Fake
"
  Esta tabela do Banco Mundial não prova que os testes para covid-19 são vendidos desde 2018",brasil,2020-09-15,74.0,0,0,0,True,True,Fake
"Se País levar quebra de contrato ao limite, haverá colapso, diz presidente do BC  ",saúde,2020-04-04,108.0,1,1,1,True,True,Real
"Número de mortos pelo coronavírus no Irã chega a 4.958, diz ministério  ",saúde,2020-04-17,63.0,1,1,1,True,True,Real
Goleiro do futsal do Corinthians vai à Justiça por fraude trabalhista   ,saúde,2020-08-01,154.0,1,1,1,True,True,Real
Médico confunde ao indicar cloroquina e criticar isolamento social e o uso de respiradores,saúde,2020-05-22,15.0,0,0,0,True,True,Fake
"

Bolsonaro filma saidão de Carnaval na Papuda em 2019 #boato 
",política,2019-02-28,37.0,0,0,0,True,True,Fake
"

Quem trabalhou entre 2002 e 2018 tem direito a abono de R$ 980 em site #boato 
",entretenimento,2019-05-26,27.0,0,0,0,True,True,Fake
TSE faz acordo com agências de checagem para combater informações falsas na eleição ,política,2020-10-01,65.0,1,0,1,False,True,Real
É #FAKE e-mail do TSE convocando para teste de voto pela internet,política,2020-11-10,81.0,0,0,0,True,True,Fake
"

Maguila foi abandonado pela família em um asilo #boato 
",entretenimento,2019-06-26,92.0,0,0,0,True,True,Fake
"Falta de vitamina D pode aumentar risco de Covid-19, sugere estudo",saúde,2020-09-03,88.0,1,1,1,True,True,Real
"

Candidato Dimas Gadelha disse que vai implantar banheiro unissex em escolas de São Gonçalo #boato 
",política,2020-11-24,56.0,0,0,0,True,True,Fake
Vídeo mostra eclipse com Lua gigante no Ártico entre Rússia e Canadá! Será verdade?,entretenimento,2021-05-27,26.0,0,0,0,True,True,Fake
O livro “Aparelho Sexual e Cia” faz parte do kit gay distribuído pelo MEC?,entretenimento,2018-08-29,30.0,0,0,0,True,True,Fake
Alcolumbre reforça cassação da Isolux; ministro fala em apuração antes  ,política,2020-11-09,128.0,1,1,1,True,True,Real
umar empresar holandês lançar app carona o corrido pago sexo,entretenimento,2019-10-25,46.0,0,0,0,True,True,Fake
"

Messi faz tatuagem em homenagem a Bolsonaro #boato 
",entretenimento,2021-08-13,47.0,0,0,0,True,True,Fake
Fronteiras fechadas fazem Europa sentir falta de imigrantes nas colheitas  ,saúde,2020-04-20,110.0,1,1,1,True,True,Real
Alemanha registra 947 novos casos de coronavírus; total sobe para 164.807  ,saúde,2020-05-06,21.0,1,1,1,True,True,Real
OPAS prevê 400.000 mortes na América Latina e no Caribe em 3 meses e pico no Brasil em agosto  ,saúde,2020-07-01,107.0,1,1,1,True,True,Real
"

PRF apreende caminhão com milhões de dólares do PT e outros partidos #boato 
",política,2019-09-08,132.0,0,0,0,True,True,Fake
Lula: decisão do CNMP a favor de Dallagnol é vergonha histórica para o MP  ,política,2020-08-25,115.0,1,1,1,True,True,Real
"

Cacique Raoni roubou US$ 10 mi de Anita Roddick (dona da Body Shop) com a ONG Cobra Coral #boato 
",brasil,2019-09-28,215.0,0,0,0,True,True,Fake
"

Militares da reserva desafiam Witzel e correm em praia do Rio de Janeiro durante quarentena #boato 
",política,2020-04-21,59.0,0,0,0,True,True,Fake
"O ministro da Educação, Milton Ribeiro, envergonha até bolsonaristas  ",política,2020-09-24,62.0,1,0,0,False,False,Real
"SC: Não quero ser arrastada por atos de terceiros, diz governadora interina  ",política,2020-10-27,85.0,1,1,1,True,True,Real
"Para médica Nise Yamaguchi, comunidade científica conspira contra a vida  ",saúde,2020-07-19,84.0,1,1,1,True,True,Real
"

Carvativir são gotas milagrosas com 100% de cura da Covid-19 #boato 
",saúde,2021-01-28,33.0,0,0,0,True,True,Fake
"Pacote de ajuda a estados e municípios deve custar até R$ 130 bilhões, diz Guedes",política,2020-04-30,96.0,1,1,1,True,True,Real
Barras ao fundo das caixas de leite não indicam que produtos são usados  ,entretenimento,2018-12-26,61.0,0,0,0,True,True,Fake
Mulher faz live para homenagear amigo morto com suspeita de covid-19  ,saúde,2020-04-27,74.0,1,0,1,False,True,Real
"Por que o Canadá, líder global de vacinas compradas, não consegue atingir metas de vacinação  ",saúde,2021-02-15,54.0,1,1,1,True,True,Real
"É #FAKE que hospital de campanha do Anhembi não tem pacientes e, por isso, médicos têm sido liberados de plantões",saúde,2020-04-24,66.0,0,0,0,True,True,Fake
Outdoor em Santos manda transeuntes para casa devido ao coronavírus  ,saúde,2020-03-25,91.0,1,0,0,False,False,Real
"

229 missionários cristãos serão mortos no Afeganistão amanhã, alerta Judith Carmona #boato 
",entretenimento,2021-08-18,91.0,0,0,0,True,True,Fake
"

MST colocou fogo em fardos de algodão na cidade de Primavera do Leste (MT) #boato 
",brasil,2019-09-14,32.0,0,0,0,True,True,Fake
Justiça manda redes sociais retirarem do ar postagens sobre menina grávida  ,política,2020-08-17,49.0,1,1,1,True,True,Real
"Marilda Siqueira, a cientista que preparou a América do Sul para a covid-19  ",saúde,2020-12-07,191.0,1,1,1,True,True,Real
Corrente tira frase da OMS de contexto para defender reabertura econômica  ,mundo,2020-07-29,66.0,0,1,0,False,True,Fake
"

Lei 14.132 prevê prisão para policiais de fecharem o comércio e agirem a favor do lockdown #boato 
",brasil,2021-04-06,168.0,0,0,0,True,True,Fake
Acusação de que China contaminou máscaras com coronavírus foi inventada  ,mundo,2020-04-14,61.0,0,0,0,True,True,Fake
PGR se coloca contra ação sobre venda de refinarias da Petrobras  ,política,2020-09-30,149.0,1,1,1,True,True,Real
